SPID,date,% Paper,% Plastic
7444,2020-02-15,"1,0","0,4"
7444,2020-02-16,"1,0","0,4"
7444,2020-02-17,"1,0","1,0"
7444,2020-02-18,"0,6","0,0"
7444,2020-02-19,"0,4","0,25"
7444,2020-02-20,"1,0","0,0"
7444,2020-02-21,"0,3","0,25"
7444,2020-02-22,"0,95","0,3"
7444,2020-02-23,"0,6666666666666666","0,3333333333333333"
7444,2020-02-24,"1,0","0,6"
7444,2020-02-25,"1,0","0,0"
7444,2020-02-26,"0,6","0,4"
7444,2020-02-27,"0,8","0,0"
7444,2020-02-28,"0,5","0,5"
7444,2020-02-29,"0,9","0,4"
7444,2020-03-01,"0,6","0,3333333333333333"
7444,2020-03-02,"0,6","0,6"
7444,2020-03-03,"1,0","0,0"
7444,2020-03-04,"0,8","0,8"
7444,2020-03-05,"1,0","0,0"
7444,2020-03-06,"0,3","0,35"
7444,2020-03-07,"1,0","0,5"
7444,2020-03-08,"0,6666666666666666","0,3333333333333333"
7444,2020-03-09,"0,2","0,3"
7444,2020-03-10,"0,6","0,0"
7444,2020-03-11,"1,0","0,8"
7444,2020-03-12,"1,0","0,0"
7444,2020-03-13,"0,6","0,7"
7444,2020-03-14,"1,0","0,4"
7444,2020-03-15,"0,6666666666666666","0,3333333333333333"
7444,2020-03-16,"0,6","0,7"
7444,2020-03-17,"0,8","0,0"
7444,2020-03-18,"0,6","0,6"
7444,2020-03-19,"1,0","0,0"
7444,2020-03-20,"0,7","0,7"
7444,2020-03-21,"1,0","0,4"
7444,2020-03-22,"0,6","0,3333333333333333"
7444,2020-03-23,"1,0","0,5"
7444,2020-03-24,"1,0","0,0"
7444,2020-03-25,"0,8","0,6"
7444,2020-03-26,"1,0","0,0"
7444,2020-03-27,"0,8","0,6"
7444,2020-03-28,"1,0","0,5"
7444,2020-03-29,"0,6666666666666666","0,3333333333333333"
7444,2020-03-30,"0,6","0,5"
7444,2020-03-31,"1,0","0,0"
7444,2020-04-01,"0,9","0,7"
7444,2020-04-02,"1,0","0,0"
7444,2020-04-03,"0,7","0,7"
7444,2020-04-04,"1,05","0,5"
7444,2020-04-05,"0,6","0,3333333333333333"
7444,2020-04-06,"0,8","1,0"
7444,2020-04-07,"1,0","0,0"
7444,2020-04-08,"1,0","1,0"
7444,2020-04-09,"1,1","0,0"
7444,2020-04-10,"1,0","1,0"
7444,2020-04-11,"0,75","0,4"
7444,2020-04-12,"0,6666666666666666","0,26666666666666666"
7444,2020-04-13,"1,0","0,6"
7444,2020-04-14,"1,0","0,0"
7444,2020-04-15,"1,0","1,0"
7444,2020-04-16,"1,0","0,0"
7444,2020-04-17,"1,0","0,8"
